,id,word,constitutive_component,constitutive_policydemic,regulative_component,regulative_policydemic
0,1-1,DIVISION,_,_,_,_
1,1-2,E,_,_,_,_
2,1-3,<,_,_,_,_
3,1-4,<,_,_,_,_
4,1-5,NOTE,_,_,_,_
5,1-6,:,_,_,_,_
6,1-7,Emergency,_,_,_,_
7,1-8,Paid,_,_,_,_
8,1-9,Sick,_,_,_,_
9,1-10,Leave,_,_,_,_
10,1-11,Act,_,_,_,_
11,1-12,.,_,_,_,_
12,1-13,>,_,_,_,_
13,1-14,>,_,_,_,_
14,1-15,-,_,_,_,_
15,1-16,-,_,_,_,_
16,1-17,EMERGENCY,_,_,_,_
17,1-18,PAID,_,_,_,_
18,1-19,SICK,_,_,_,_
19,1-20,LEAVE,_,_,_,_
20,1-21,ACT,_,_,_,_
21,1-22,SEC,_,_,_,_
22,1-23,.,_,_,_,_
23,1-24,5101,_,_,_,_
24,1-25,.,_,_,_,_
25,2-1,SHORT,_,_,_,_
26,2-2,TITLE,_,_,_,_
27,2-3,.,_,_,_,_
28,3-1,This,_,_,_,_
29,3-2,Act,_,_,_,_
30,3-3,may,_,_,_,_
31,3-4,be,_,_,_,_
32,3-5,cited,_,_,_,_
33,3-6,as,_,_,_,_
34,3-7,the,_,_,_,_
35,3-8,`,_,_,_,_
36,3-9,`,_,_,_,_
37,3-10,Emergency,_,_,_,_
38,3-11,Paid,_,_,_,_
39,3-12,Sick,_,_,_,_
40,3-13,Leave,_,_,_,_
41,3-14,Act,_,_,_,_
42,3-15,',_,_,_,_
43,3-16,',_,_,_,_
44,3-17,.,_,_,_,_
45,4-1,SEC,_,_,_,_
46,4-2,.,_,_,_,_
47,4-3,5102,_,_,_,_
48,4-4,.,_,_,_,_
49,5-1,PAID,_,_,_,_
50,5-2,SICK,_,_,_,_
51,5-3,TIME,_,_,_,_
52,5-4,REQUIREMENT,_,_,_,_
53,5-5,.,_,_,_,_
54,6-1,(,_,_,_,_
55,6-2,a,_,_,_,_
56,6-3,),_,_,_,_
57,6-4,IN,_,_,_,_
58,6-5,GENERAL,_,_,_,_
59,6-6,.,_,_,_,_
60,7-1,-,_,_,_,_
61,7-2,-,_,_,_,_
62,7-3,An,_,_,(A) Attribute[39],(DB) Duty-bearer[39]
63,7-4,employer,_,_,(A) Attribute[39],(DB) Duty-bearer[39]
64,7-5,shall,_,_,(D) Deontic,*
65,7-6,provide,_,_,(I) Aim,*
66,7-7,to,_,_,_,_
67,7-8,each,_,_,"(Bdir, prop) Object\_Direct\_Property",*
68,7-9,employee,_,_,(Bind) Object\_Indirect,(C) Claimant
69,7-10,employed,_,_,"(Bind, prop) Object\_Indirect\_Property[40]",(CP) Claimant Property[40]
70,7-11,by,_,_,"(Bind, prop) Object\_Indirect\_Property[40]",(CP) Claimant Property[40]
71,7-12,the,_,_,"(Bind, prop) Object\_Indirect\_Property[40]",(CP) Claimant Property[40]
72,7-13,employer,_,_,"(Bind, prop) Object\_Indirect\_Property[40]",(CP) Claimant Property[40]
73,7-14,paid,_,_,(Bdir) Object\_Direct[41],(B) Benefit[41]
74,7-15,sick,_,_,(Bdir) Object\_Direct[41],(B) Benefit[41]
75,7-16,time,_,_,(Bdir) Object\_Direct[41],(B) Benefit[41]
76,7-17,to,_,_,(Cex) Execution Constraint[42],*[42]
77,7-18,the,_,_,(Cex) Execution Constraint[42],*[42]
78,7-19,extent,_,_,(Cex) Execution Constraint[42],*[42]
79,7-20,that,_,_,_,_
80,7-21,the,_,_,(A) Attribute[43],(C) Claimant[43]
81,7-22,employee,_,_,(A) Attribute[43],(C) Claimant[43]
82,7-23,is,_,_,(I) Aim,*
83,7-24,unable,_,_,(Cex) Execution Constraint[44],*[44]
84,7-25,to,_,_,(Cex) Execution Constraint[44],*[44]
85,7-26,work,_,_,(Cex) Execution Constraint[44],*[44]
86,7-27,(,_,_,(Cex) Execution Constraint[44],*[44]
87,7-28,or,_,_,(Cex) Execution Constraint[44],*[44]
88,7-29,telework,_,_,(Cex) Execution Constraint[44],*[44]
89,7-30,),_,_,(Cex) Execution Constraint[44],*[44]
90,7-31,due,_,_,(Cac) Activation Condition[45],*[45]
91,7-32,to,_,_,(Cac) Activation Condition[45],*[45]
92,7-33,a,_,_,(Cac) Activation Condition[45],*[45]
93,7-34,need,_,_,(Cac) Activation Condition[45],*[45]
94,7-35,for,_,_,(Cac) Activation Condition[45],*[45]
95,7-36,leave,_,_,(Cac) Activation Condition[45],*[45]
96,7-37,because,_,_,(Cac) Activation Condition[45],*[45]
97,7-38,:,_,_,_,_
98,7-39,(,_,_,_,_
99,7-40,1,_,_,_,_
100,7-41,),_,_,_,_
101,7-42,The,(E) Constituted Entity[4],(C) Claimant[4],(Cac) Activation Condition[46],*[46]
102,7-43,employee,(E) Constituted Entity[4],(C) Claimant[4],(Cac) Activation Condition[46],*[46]
103,7-44,is,(F) Constitutive Function,*,(Cac) Activation Condition[46],*[46]
104,7-45,subject,(P) Constituting Property,*,(Cac) Activation Condition[46],*[46]
105,7-46,to,_,_,(Cac) Activation Condition[46],*[46]
106,7-47,a,_,_,(Cac) Activation Condition[46],*[46]
107,7-48,Federal,"(P, prop) Constituting Property Property",*,(Cac) Activation Condition[46],*[46]
108,7-49,",",_,_,(Cac) Activation Condition[46],*[46]
109,7-50,State,"(P, prop) Constituting Property Property",*,(Cac) Activation Condition[46],*[46]
